timestep,xmain,pmain,xhigh,phigh,xlow,plow
15.352,4774.815691867453,19628.450241405266,-98748.33089835272,-4279.927296024782,55691.863700195754,-107883.82592716985
15.36,5849.176828866931,19232.26243335456,-98796.11227350305,3122.57821114539,52952.001312790795,-109355.21419566247
15.368,6901.039179935014,18770.74288177757,-98284.12730153822,10403.153203009904,50198.62403311871,-110761.25519674936
15.376,7925.212029776466,18244.74032436034,-97223.52756228708,17693.223662864893,47387.77601092609,-112096.61008230438
15.384,8917.067413018327,17656.86159281476,-95611.54847067634,24828.714697245545,44561.07843224836,-113376.33093342418
15.392,9875.07161491647,17009.197559926568,-93471.1707170646,31827.57371294734,41710.86826523644,-114586.82404322103
15.4,10795.614979326458,16304.632280084421,-90805.94269380115,38634.9961656553,38824.70865730669,-115737.11578960136
15.408,11675.294416352257,15545.402879855772,-87635.78199176317,45244.8895654886,35886.035521310354,-116810.53229005446
15.416,12513.036776914134,14734.66528422227,-83981.0661569721,51565.799985944825,32957.83366729535,-117811.6571189018
15.424,13303.154878082345,13876.35746356148,-79857.23915259764,57608.51870230018,29973.544510839205,-118748.23317209762
15.432,14045.744861605854,12971.899642994158,-75296.20624485251,63318.47441421814,27007.5773560351,-119612.71842416083
15.44,14737.417547101286,12025.554832114381,-70320.91661101372,68651.57039548403,24010.076320379587,-120408.94875371123
15.448,15375.397854830298,11041.293867226233,-64944.884661107164,73612.27736074,20964.70480725734,-121124.25892890559
15.456,15957.943572675988,10021.562196354005,-59211.344004890954,78120.0025203028,17907.555992845282,-121762.84829888625
15.464,16482.485660095845,8971.093488534483,-53162.23179595764,82221.80589938755,14837.06623084333,-122328.39894962324
15.472,16949.653590197213,7894.328010728501,-46833.38582241269,85797.91305224366,11760.866141995975,-122817.53505703635
15.48,17354.02574566349,6793.605040952757,-40227.73711057544,88926.04065562128,8678.310687818392,-123222.13365733293
15.488,17697.887928177915,5674.490005017253,-33416.10673212328,91564.17037311204,5579.154765245171,-123549.94834369767
15.496,17981.24233469796,4539.097927989192,-26426.25306795137,93715.89957706987,2462.7816959313245,-123802.12201766032
15.504,18200.7829479931,3392.6869709487473,-19301.952837152825,95355.79583490822,-620.7505904512891,-123973.22671260187
15.512,18355.749815362287,2240.138486339507,-12062.555813464232,96401.01611127751,-3744.8476912413093,-124063.00289619812
15.52,18448.20018342225,1085.4039549690872,-4770.253432485455,96921.00981161631,-6886.4660310706495,-124053.02321116366
15.528,18475.7506524234,-69.2258421192637,2542.2148377302988,96905.82504106729,-9985.46906588311,-123976.24969238343
15.536,18440.129414506995,-1217.653360777554,9838.014850865255,96284.22081548155,-13124.568847987135,-123800.58586871224
15.544,18340.37972483054,-2357.1100980711526,17044.64251568762,95101.34607134352,-16243.059709824387,-123553.99801937582
15.552,18179.545853800693,-3482.358140048637,24147.81338785416,93417.20284228498,-19321.966229201575,-123224.93274360309
15.56,17956.087159438946,-4590.130250354808,31118.40675642749,91215.6125524769,-22409.529526790444,-122799.01526423133
15.568,17673.400254637276,-5676.896825159587,37893.31120825182,88519.13743770606,-25524.795778103442,-122301.21668641527
15.576,17330.489828912756,-6738.179561786811,44451.07063913896,85355.31218288015,-28566.384930210927,-121710.8490789494
15.584,16928.88524163634,-7770.329846991588,50743.32503208778,81707.46135451194,-31603.219161760207,-121038.30852661603
15.592,16471.664556779022,-8770.944884835893,56748.89867479343,77619.47936369381,-34634.16804282426,-120284.88584381038
15.6,15960.320646631159,-9735.52868798814,62428.318577059705,73083.6938354708,-37655.25923203424,-119441.81407989333
15.608,15395.32789901282,-10661.309360160283,67756.37304754014,68075.49154858064,-40659.72770267978,-118513.65199833203
15.616,14781.736848515955,-11544.82473939287,72686.2455909705,62707.180954948824,-43621.11052565644,-117503.90178556177
15.624,14119.250244125717,-12383.47786902461,77199.13450950413,57055.967270602894,-46541.53477286439,-116413.83657516053
15.632,13411.40416450719,-13174.48855087972,81270.37162123299,51057.14775661563,-49431.74996506478,-115236.15778367216
15.64,12661.174723668142,-13915.926511398598,84870.87112894308,44754.289563602375,-52358.99015414248,-113974.97644747782
15.648,11872.843336532393,-14605.603942070113,88002.73495011544,38184.663461860684,-55185.06622200367,-112624.7271523701
15.656,11047.063029909861,-15239.958494406443,90626.53280502453,31488.009018891786,-57989.041162623296,-111200.6650582579
15.664,10188.813401283902,-15818.041961490386,92748.29117534125,24598.39874761015,-60761.12269839439,-109697.65822046489
15.672,9300.371668401032,-16337.702592253172,94346.56992219725,17562.941976805145,-63470.946873609944,-108111.53047706987
15.68,8382.883275538741,-16798.027510668962,95409.52441938537,10426.8013001405,-66170.54777867059,-106461.84638568418
15.688,7442.853482599781,-17197.137162336032,95928.21753574767,3189.84118374831,-68815.52439012635,-104734.9655517345
15.696,6482.389211675013,-17534.02440773182,95899.18978992869,-4036.4843398209327,-71427.73220620542,-102918.85463035086
15.704,5506.808012161155,-17808.21303318196,95321.38234575908,-11246.956042089701,-73990.44410099868,-101034.43919643099
15.712,4515.655366291231,-18018.6652882524,94203.2289570583,-18344.15815910458,-76512.48665601882,-99091.17259413862
15.72,3515.1004855088026,-18166.08236210215,92545.29859485826,-25346.2535344012,-78995.24509633829,-97063.9335046987
15.728,2506.888270014174,-18249.404925021667,90367.08980771867,-32222.76534658719,-81409.26463956665,-94968.23054702904
15.736,1497.7001875678104,-18269.1627592548,87680.44810007293,-38856.36053197086,-83776.0511005198,-92803.6407625895
15.744,487.28185748699343,-18225.859469908864,84498.70688271007,-45218.84196932372,-86081.6309095743,-90570.4041910538
15.752,-519.3830776819344,-18119.467366656983,80849.47547009122,-51336.86475834885,-88348.78521702645,-88268.96632759484
15.76,-1517.5823658628644,-17951.9706094057,76756.92919914759,-57193.49075901966,-90567.04882883363,-85911.13181130907
15.768,-2504.0884916546393,-17722.971705363856,72235.65990590108,-62688.58715047856,-92661.16841800386,-83494.34357748859
15.776,-3476.122366056561,-17435.269331380307,67318.83546773018,-67819.83719657846,-94709.50167428558,-81015.55250790516
15.784,-4432.95864547917,-17088.303088343204,62027.9120787813,-72541.11521996821,-96711.15536219267,-78484.38246285153
15.792,-5368.3221753201,-16685.26756618291,56388.78808679594,-76894.06182970975,-98610.01662467635,-75889.02294856153
15.8,-6278.273759391162,-16227.11324987402,50442.000464026605,-80839.98983273425,-100479.51001156184,-73245.64655160277
