timestep,xmain,pmain,xhigh,phigh,xlow,plow
12.624,172888.14253069143,-353376.60214843723,-4918.828716024035,93019.45755023585,243507.516159339,-816635.2610239441
12.632,153074.38486789583,-363152.36289561936,2076.929237754292,92374.57958465435,222885.16799504953,-823244.9246847474
12.64,132756.90303775872,-371567.2981822197,9025.483384073232,91455.31629268771,202105.64376966303,-829090.4817579646
12.648,112013.77084766772,-378593.26818431326,15887.391209130992,90291.73547667333,181181.20949294796,-834153.192548928
12.656,90920.25456851648,-384207.40503114025,22644.09016350156,88822.37303882255,160196.92090840562,-838435.4563482567
12.664,69555.7920109142,-388394.4632329406,29283.89457099878,87069.72852249774,139048.01699244868,-841938.5972279108
12.672,48000.0939247543,-391141.8877832311,35773.08412639489,85116.20827158193,117855.3807057453,-844651.2137930878
12.68,26331.499396451905,-392442.211001434,42111.59601475153,82918.41861989885,96601.36803123467,-846596.544165955
12.688,4631.029110180417,-392294.51095822925,48270.43935747857,80496.56271806911,75316.26352837519,-847746.9001894066
12.696,-17022.22962076988,-390700.39633517066,54231.117689463026,77847.95510405992,54025.24009892697,-848105.6636226989
12.704,-38547.30907989234,-387670.413243132,60007.68933106082,75017.01359004936,32732.806279254,-847694.2102085697
12.712,-59863.55033991745,-383216.80237643316,65550.35993412949,72007.20762302585,11447.383754913148,-846494.6565700681
12.72,-80894.40678370245,-377357.68811117456,70855.72666282445,68829.11069936334,-9807.266614909897,-844546.93734628
12.728,-101563.68579664076,-370116.03599811037,75924.88465023135,65476.64790990264,-30975.53563685779,-841834.270386995
12.736,-121794.87051389183,-361519.80253441056,80731.69231385028,62006.139670996046,-52097.82804899564,-838365.0310217408
12.744,-141514.87496631683,-351601.2268736502,85277.78028571194,58382.247172351475,-73102.4415924344,-834144.2632963599
12.752,-160651.16114841067,-340398.3396633419,89532.08662681756,54611.56746039134,-94007.27560334517,-829178.2259951193
12.76,-179132.42701330537,-327953.573094441,93499.8253862048,50737.96909860109,-114748.52507716953,-823498.3789094503
12.768,-196894.30515840804,-314311.88182243,97169.231269526,46800.56173693952,-135372.1957290033,-817102.5142211767
12.776,-213869.16539280128,-299523.2361722085,100542.16246387846,42786.09214284502,-155818.7961367117,-810002.7839190708
12.784,-229994.91419033686,-283642.22386058397,103620.28018405491,38675.239688636786,-176076.32581209493,-802201.06677352
12.792,-245214.37340336572,-266725.7012876366,106377.89301664286,34523.08399092983,-196099.20437851778,-793742.6407516421
12.8,-259470.66570710804,-248835.746335427,108818.83585034742,30339.93758670972,-215917.02548012597,-784626.3878993108
12.808,-272714.8176886375,-230036.7036050166,110939.74759836507,26100.164035500777,-235484.91839206775,-774863.9366936368
12.816,-284895.1881598361,-210395.61187488967,112745.13651215675,21888.012821129367,-254845.6099716192,-764467.2573661053
12.824,-295967.5294040911,-189982.94593764644,114222.30944251796,17692.468398008983,-273944.58693883015,-753464.6055313834
12.832,-305890.54115827143,-168871.8554842473,115387.05019810615,13516.107304850217,-292711.6262282823,-741869.3398707486
12.84,-314629.7452758336,-147139.80383737068,116244.03600987354,9334.692783481074,-311188.61139397015,-729712.3148717735
12.848,-322151.41544130875,-124861.99299132555,116791.73887986102,5209.924786745732,-329360.86931068305,-716979.9724209916
12.856,-328426.9972012128,-102118.89819034812,117024.30091923845,1171.526686410929,-347209.02460219624,-703721.8182794243
12.864,-333435.94045154244,-78990.63147182553,116956.35235543766,-2844.688372474528,-364730.4418464182,-689934.9403533959
12.872,-337155.9551250652,-55559.15877492495,116586.95501231607,-6738.399553353601,-381905.6615005647,-675660.822544702
12.88,-339576.0510171625,-31908.168500737873,115926.2812859433,-10611.096620512271,-398676.0201053128,-660894.421429313
12.888,-340683.78117652645,-8119.86007659423,114976.1450557547,-14332.876301120246,-415075.43042208295,-645695.1281908273
12.896,-340471.95235434495,15719.441050038864,113755.13216291436,-17988.486727176565,-431121.9517650654,-630046.1280242617
12.904,-338944.43148988445,39527.93412083523,112258.76308746725,-21501.35730253507,-446760.04991491017,-613987.215421043
12.912,-336103.67445080297,63219.93956313062,110509.58266009102,-24843.335347227032,-461993.2216542666,-597531.6099491188
12.92,-331957.65794781933,86713.83817975552,108515.28964988752,-28053.842996930707,-476786.39630510076,-580709.9553482283
12.928,-326520.64028057497,109925.1371603778,106284.14284755096,-31177.98938787891,-491125.10000823956,-563546.1586422564
12.936,-319809.3968456005,132773.72324600775,103820.78409135934,-34132.489998173616,-505076.82963196497,-546050.287282313
12.944,-311845.57888252684,155177.15834529029,101140.17673842549,-36958.44323480992,-518559.36450606753,-528240.175566827
12.952,-302657.543097565,177060.0125364598,98250.70286568168,-39581.95965948602,-531612.8786987847,-510139.99177560315
12.96,-292275.82252953044,198342.82216759596,95167.2848948224,-42087.721799432155,-544175.5461250608,-491783.30847660516
12.968,-280736.19451692974,218952.94148922563,91899.3108814633,-44354.98250269185,-556303.7667587174,-473191.46910021326
12.976,-268075.98568241356,238819.0488879332,88473.78961667206,-46435.971347470426,-567968.9681458964,-454371.2284735685
12.984,-254342.19683165243,257869.64687327296,84886.06436228853,-48396.26047958624,-579146.6336461967,-435350.5594676288
12.992,-239577.2359594977,276038.9596262465,81165.59174981232,-50147.18592586614,-589798.4098089567,-416142.5250175603
13.0,-223834.27609180706,293263.0941309315,77326.66285133005,-51707.3878130199,-600020.6241512313,-396765.62873171916
13.008,-207166.70381126512,309482.76501305454,73374.0105715525,-53065.49236953172,-609726.8804046666,-377266.58968341234
13.016,-189633.43928439214,324641.05251703656,69328.7367040149,-54253.11136180929,-618931.2429446165,-357641.48994045163
