timestep,xmain,xhigh,xlow
3.288,313666.0195922651,308019.3910781556,-606127.748211594
3.296,295189.0355748637,319941.312111169,-566577.6137391172
3.304,275948.75569450576,330229.5133895915,-526587.8528867341
3.312,256008.55988767787,338840.1344731207,-486204.2591204829
3.32,235455.24330483231,345738.7216324155,-445445.8709167273
3.328,214343.86707912615,350901.1109243289,-404324.5081893288
3.336,192752.54094112766,354307.60681523004,-362909.87794294563
3.344,170763.67546899928,355949.65094336955,-321141.26687114016
3.352,148437.1886661425,355828.26367496036,-279093.01721707504
3.36,125859.72421554559,353954.57134694763,-236783.4041995192
3.368,103089.08438397238,350345.47641443164,-194220.00578774392
3.376,80217.46187980202,345032.21082749864,-151452.24471179766
3.384,57319.19748297803,338045.0184383055,-108477.22251747795
3.392,34453.344692346174,329427.4124074309,-65365.330082709785
3.4,11695.69757063373,319227.9693093464,-22091.399004121973
3.408,-10882.033445331088,307503.33044230915,21291.939577731708
3.416,-33220.72844204157,294313.6218921549,64766.851559873285
3.424,-55244.46911797078,279736.7299777116,108278.70839328262
3.432,-76898.28983518711,263848.0450414851,151809.0935726894
3.44,-98128.23534826105,246729.445966927,195359.16913188965
3.448,-118865.32815107389,228463.5955270356,238848.92271739486
3.456,-139058.73156655862,209155.45855543876,282227.5046012016
3.464,-158652.0951784884,188882.84328016642,325508.84817723214
3.472,-177608.71944441673,167758.75322874106,368670.2551995495
3.48,-195872.78015731712,145877.60810018872,411681.05304250366
