timestep,xmain,pmain,xhigh,phigh,xlow,plow
81.52,1.236165718212006e6,-4.149438789683109e6,-50506.59665593142,-7226.371882166027,102904.99025774555,1.127620084414367e6
81.528,1.0049129783604493e6,-4.213201199428668e6,-50978.575136449086,-5179.296853735775,131161.19855776458,1.1228671351884115e6
81.536,770489.5034788859,-4.264099885895579e6,-51290.977873718395,-3147.7928912668044,159337.30764067025,1.1173957612549209e6
81.544,533611.243542089,-4.301973916922478e6,-51450.300230065506,-1116.1142503432377,187326.1971862682,1.1112231792649322e6
81.552,295001.9756513827,-4.326701587116037e6,-51447.123113461574,909.215928270003,215181.13177610503,1.1043411457058194e6
81.56,55390.7440746854,-4.338202098295978e6,-51306.04880055556,2974.266125395827,242836.7782898538,1.0967526571700529e6
81.568,-184489.73606906316,-4.336434550981576e6,-51013.590617636764,4980.405136348041,270304.09262241516,1.0884807563606575e6
81.576,-423905.5458354855,-4.321398960506286e6,-50558.06199814958,7036.324058757819,297567.2479032487,1.079537995980162e6
81.584,-662123.8071130548,-4.293135766017065e6,-49933.81784270865,9131.030570842986,324580.15168300446,1.069932061864145e6
81.592,-898415.5670235347,-4.251725945959945e6,-49186.67025053768,11134.469033505473,351330.3608598527,1.0596896824750996e6
81.6,-1.132056656163755e6,-4.1972905685924925e6,-48276.749363853414,13076.131986603783,377869.47694789735,1.0488100476240714e6
81.608,-1.362331610617213e6,-4.1299909614088014e6,-47215.150774268994,14941.63765041692,404052.0334319229,1.037299757806172e6
81.616,-1.5885341880845875e6,-4.0500275827807426e6,-46001.73681975498,16849.694581379266,429979.0925295229,1.0251664768843391e6
81.624,-1.8099711406199555e6,-3.9576395607165648e6,-44683.2837468532,18644.11838958234,455566.0228851355,1.0124339442193324e6
81.632,-2.0259620914397321e6,-3.8531048429593765e6,-43211.024895239985,20433.275138039488,480838.1998449437,999108.0367506418
81.64,-2.235844722770951e6,-3.7367379418906034e6,-41598.58492171002,22145.255721883736,505774.9297299126,985214.658866755
81.648,-2.4389737906616167e6,-3.608889898335382e6,-39866.105020032686,23803.389241832458,530326.0068229189,970758.6933299094
