timestamp,value1,value2
457.336,-0.8634868388882765,-1.0122075272925433
457.344,-0.9064138104645805,-0.9611178891963474
457.352,-1.0327140474751195,-0.9092694225177622
457.36,-1.1021814293948102,-0.8501350819731528
457.368,-1.051468507775201,-0.7900931514650583
457.376,-1.1382480172998723,-0.7291895110183143
457.384,-1.066772910931903,-0.6697095571169919
457.392,-1.0622652872678597,-0.6107452097012371
457.4,-1.0590688786070317,-0.5540918456634639
457.408,-1.0689689416882637,-0.4979978686546826
457.416,-1.0438262387676454,-0.4389529817690432
457.424,-1.0152578597308504,-0.3839270417430423
457.432,-1.0453201761314417,-0.3313794791860284
457.44,-0.9369586882456618,-0.2806990744421062
457.448,-0.9582325246211112,-0.22909325513728648
457.456,-1.0419583701741275,-0.17551401670834632
457.464,-0.9309062455709984,-0.12349408460884023
457.472,-0.998157808092695,-0.07565520177218729
457.48,-1.1055277319226768,-0.021755226249333955
457.488,-1.0570342471518452,0.03140381030071422
457.496,-1.1034754680458614,0.08748902425923871
457.504,-1.0844529945822163,0.14360746007559064
457.512,-0.9834851735288311,0.19656412006886168
457.52,-1.0143886931729806,0.2468328441211951
457.528,-1.0888636210079503,0.2997977608284253
457.536,-1.0958035214143147,0.3524741039268719
457.544,-1.1692691359321548,0.41056099496282844
457.552,-1.1195213243661488,0.4689696219236517
457.56,-1.1346584540302733,0.5271473977085469
457.568,-0.9626788900176793,0.5792667457517088
457.576,-0.9343754438023854,0.6265518222215853
457.584,-0.8551966208188524,0.6710323321140423
457.592,-0.6523575998629064,0.7073629866889527
457.6,-0.525031484115729,0.734440629198428
457.608,-0.48321355568525654,0.7565992315998309
457.616,-0.5137682366308096,0.7790874865978984
457.624,-0.43892737139491755,0.8002503591131753
457.632,-0.4111485544051952,0.8189067040911735
457.64,-0.3484542450648547,0.8333460359019375
457.648,-0.2779118149291192,0.8447686079686869
457.656,-0.23291669261299477,0.8519552469949191
457.664,-0.2659679372758125,0.8596151417719115
457.672,-0.21891845252201877,0.8713078684438829
457.68,-0.21027950008882035,0.8799281776446102
457.688,-0.23275627610100996,0.8859910551064387
457.696,-0.180361440627372,0.8916315137987884
457.704,-0.17688121564301137,0.8971710465942665
457.712,-0.014656305525697943,0.89917035433425
457.72,0.230819504985936,0.8888507482420487
457.728,0.19045096680470325,0.87189700428549
457.736,0.2951542662545004,0.8505695117004798
457.744,0.4229378843630717,0.8263412546025141
457.752,0.40960068610396094,0.8008269358452222
457.76,0.26172008681847947,0.7788818977681027
457.768,0.4074531658559632,0.7580345800118076
457.776,0.4375872554431511,0.7339787330277706
